left_strategy,right_strategy,left_payoff,right_payoff,is_left_best,is_right_best,is_nash
"(0.0, 0.5, 1.0)","(0.0, 0.5, 1.0)",1.5,1.5,1,1,1
"(-1.0, -1.0, -1.0)","(-1.0, -1.0, -1.0)",1.5,1.5,0,0,0
"(-1.0, -1.0, -1.0)","(-1.0, -1.0, -0.5)",1.2,1.8,0,0,0
"(-1.0, -1.0, -1.0)","(-1.0, -1.0, 0.0)",1.2,1.8,0,0,0
"(-1.0, -1.0, -1.0)","(-1.0, -1.0, 0.5)",1.2,1.8,0,0,0
"(-1.0, -1.0, -1.0)","(-1.0, -1.0, 1.0)",1.2,1.8,0,0,0
"(-1.0, -1.0, -1.0)","(-1.0, -0.5, -0.5)",0.75,2.25,0,0,0
"(-1.0, -1.0, -1.0)","(-1.0, -0.5, 0.0)",0.75,2.25,0,0,0
"(-1.0, -1.0, -1.0)","(-1.0, -0.5, 0.5)",0.75,2.25,0,0,0
"(-1.0, -1.0, -1.0)","(-1.0, -0.5, 1.0)",0.75,2.25,0,0,0
"(-1.0, -1.0, -1.0)","(-1.0, 0.0, 0.0)",0.75,2.25,0,0,0
"(-1.0, -1.0, -1.0)","(-1.0, 0.0, 0.5)",0.75,2.25,0,0,0
"(-1.0, -1.0, -1.0)","(-1.0, 0.0, 1.0)",0.75,2.25,0,0,0
"(-1.0, -1.0, -1.0)","(-1.0, 0.5, 0.5)",0.75,2.25,0,0,0
"(-1.0, -1.0, -1.0)","(-1.0, 0.5, 1.0)",0.75,2.25,0,0,0
"(-1.0, -1.0, -1.0)","(-1.0, 1.0, 1.0)",0.75,2.25,0,0,0
"(-1.0, -1.0, -1.0)","(-0.5, -0.5, -0.5)",0,3,0,1,0
"(-1.0, -1.0, -1.0)","(-0.5, -0.5, 0.0)",0,3,0,1,0
"(-1.0, -1.0, -1.0)","(-0.5, -0.5, 0.5)",0,3,0,1,0
"(-1.0, -1.0, -1.0)","(-0.5, -0.5, 1.0)",0,3,0,1,0
"(-1.0, -1.0, -1.0)","(-0.5, 0.0, 0.0)",0,3,0,1,0
"(-1.0, -1.0, -1.0)","(-0.5, 0.0, 0.5)",0,3,0,1,0
"(-1.0, -1.0, -1.0)","(-0.5, 0.0, 1.0)",0,3,0,1,0
"(-1.0, -1.0, -1.0)","(-0.5, 0.5, 0.5)",0,3,0,1,0
"(-1.0, -1.0, -1.0)","(-0.5, 0.5, 1.0)",0,3,0,1,0
"(-1.0, -1.0, -1.0)","(-0.5, 1.0, 1.0)",0,3,0,1,0
"(-1.0, -1.0, -1.0)","(0.0, 0.0, 0.0)",0,3,0,1,0
"(-1.0, -1.0, -1.0)","(0.0, 0.0, 0.5)",0,3,0,1,0
"(-1.0, -1.0, -1.0)","(0.0, 0.0, 1.0)",0,3,0,1,0
"(-1.0, -1.0, -1.0)","(0.0, 0.5, 0.5)",0,3,0,1,0
"(-1.0, -1.0, -1.0)","(0.0, 0.5, 1.0)",0,3,0,1,0
"(-1.0, -1.0, -1.0)","(0.0, 1.0, 1.0)",0,3,0,1,0
"(-1.0, -1.0, -1.0)","(0.5, 0.5, 0.5)",0,3,0,1,0
"(-1.0, -1.0, -1.0)","(0.5, 0.5, 1.0)",0,3,0,1,0
"(-1.0, -1.0, -1.0)","(0.5, 1.0, 1.0)",0,3,0,1,0
"(-1.0, -1.0, -1.0)","(1.0, 1.0, 1.0)",0,3,0,1,0
"(-1.0, -1.0, -0.5)","(-1.0, -1.0, -1.0)",1.8,1.2,0,0,0
"(-1.0, -1.0, -0.5)","(-1.0, -1.0, -0.5)",1.5,1.5,0,0,0
"(-1.0, -1.0, -0.5)","(-1.0, -1.0, 0.0)",1.5,1.5,0,0,0
"(-1.0, -1.0, -0.5)","(-1.0, -1.0, 0.5)",1.5,1.5,0,0,0
"(-1.0, -1.0, -0.5)","(-1.0, -1.0, 1.0)",1.5,1.5,0,0,0
"(-1.0, -1.0, -0.5)","(-1.0, -0.5, -0.5)",1,2,0,0,0
"(-1.0, -1.0, -0.5)","(-1.0, -0.5, 0.0)",1,2,0,0,0
"(-1.0, -1.0, -0.5)","(-1.0, -0.5, 0.5)",1,2,0,0,0
"(-1.0, -1.0, -0.5)","(-1.0, -0.5, 1.0)",1,2,0,0,0
"(-1.0, -1.0, -0.5)","(-1.0, 0.0, 0.0)",1,2,0,0,0
"(-1.0, -1.0, -0.5)","(-1.0, 0.0, 0.5)",1,2,0,0,0
"(-1.0, -1.0, -0.5)","(-1.0, 0.0, 1.0)",1,2,0,0,0
"(-1.0, -1.0, -0.5)","(-1.0, 0.5, 0.5)",1,2,0,0,0
"(-1.0, -1.0, -0.5)","(-1.0, 0.5, 1.0)",1,2,0,0,0
"(-1.0, -1.0, -0.5)","(-1.0, 1.0, 1.0)",1,2,0,0,0
"(-1.0, -1.0, -0.5)","(-0.5, -0.5, -0.5)",1.5,1.5,0,0,0
"(-1.0, -1.0, -0.5)","(-0.5, -0.5, 0.0)",0.666666667,2.333333333,0,0,0
"(-1.0, -1.0, -0.5)","(-0.5, -0.5, 0.5)",0.666666667,2.333333333,0,0,0
"(-1.0, -1.0, -0.5)","(-0.5, -0.5, 1.0)",0.666666667,2.333333333,0,0,0
"(-1.0, -1.0, -0.5)","(-0.5, 0.0, 0.0)",0.5,2.5,0,0,0
"(-1.0, -1.0, -0.5)","(-0.5, 0.0, 0.5)",0.5,2.5,0,0,0
"(-1.0, -1.0, -0.5)","(-0.5, 0.0, 1.0)",0.5,2.5,0,0,0
"(-1.0, -1.0, -0.5)","(-0.5, 0.5, 0.5)",0.5,2.5,0,0,0
"(-1.0, -1.0, -0.5)","(-0.5, 0.5, 1.0)",0.5,2.5,0,0,0
